"R0000100","R0153800","R0153900","R0154000","R0154100","R0154200","R0154300","R0154400","R0154500","R0173600","R0214700","R0214800","R0799500","R0799600","R0799700","R0799800","R0799900","R0800000","R0800100","R0800200","R2364600","R2364700","R2364800","R2364900","R2365000","R2365100","R2365200","R2365300","R8418500","R8418501","R8418502","R8418503","R8418504","R8418505","R8418506","R8418507"
11195,2,4,1,2,3,3,-2,3,16,2,1,2,2,3,3,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11196,4,4,2,4,1,3,2,3,15,3,1,4,4,3,3,2,4,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11197,2,2,2,2,3,2,3,2,15,3,1,1,1,3,1,3,1,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11198,2,2,3,2,4,2,3,2,15,3,1,2,3,3,2,4,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11199,1,1,4,2,3,2,4,2,19,2,2,2,2,4,2,4,2,3,3,1,2,4,2,4,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5
11200,3,2,3,2,4,-2,4,2,18,3,2,1,2,3,1,4,2,-2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11201,2,2,2,3,3,3,3,3,15,3,1,2,2,3,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11202,2,2,3,2,2,3,3,2,15,3,1,2,2,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11203,2,2,3,2,4,2,3,2,18,3,2,2,2,4,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11204,2,1,4,1,3,2,1,1,18,3,2,1,1,4,1,4,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11205,2,4,3,2,3,3,3,3,15,3,1,2,2,2,3,3,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11206,1,2,3,3,3,3,3,3,16,2,1,2,2,3,4,4,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11207,3,4,2,4,2,4,4,4,15,3,1,3,3,3,2,2,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11208,3,3,2,3,3,4,2,2,15,3,1,3,3,2,3,2,3,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11209,2,2,2,2,1,3,3,4,17,1,1,4,4,1,4,4,4,1,3,1,2,3,2,3,2,4,3,3,4,3,3,1,2,4,4
11210,2,2,3,2,2,2,4,2,19,2,2,3,3,2,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11211,1,2,4,1,3,1,3,1,19,2,2,1,1,3,1,4,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11212,2,2,3,3,2,2,2,2,15,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11213,2,3,1,2,2,3,3,3,18,3,2,3,3,1,3,2,3,2,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11214,1,2,3,1,4,2,4,2,18,3,2,4,2,2,2,4,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11215,3,3,3,3,3,4,3,2,15,3,1,3,3,3,3,2,3,2,2,3,3,2,3,3,3,3,2,4,2,2,2,2,2,2,3
11216,2,2,3,2,2,3,2,2,15,3,1,2,2,3,2,3,3,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11217,2,2,3,3,3,2,3,3,18,3,2,1,1,4,1,4,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11218,2,1,3,3,2,2,2,2,15,3,1,2,2,3,3,4,2,3,2,1,1,2,2,2,1,3,2,-5,-5,-5,-5,-5,-5,-5,-5
11219,1,2,3,2,2,2,2,2,18,3,2,2,2,3,1,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11220,2,2,2,2,2,3,4,2,18,3,2,1,1,4,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11221,2,2,3,2,2,2,3,-2,16,2,1,2,2,2,2,2,2,3,2,2,2,3,2,3,2,3,2,4,3,3,2,2,3,2,3
11222,1,2,4,1,3,2,3,2,20,1,2,2,2,3,2,3,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11223,2,2,2,2,2,3,2,-2,15,3,1,1,1,4,2,3,1,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11224,1,1,4,2,3,1,3,1,18,3,2,1,1,4,1,3,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11225,1,2,3,2,2,2,3,2,18,3,2,1,1,3,2,3,3,4,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11226,2,2,3,2,3,2,3,2,18,3,2,2,2,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11227,2,2,3,2,3,2,3,2,15,3,1,2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,4,4,3,3,2,4,2,3
11228,3,4,2,4,2,4,2,4,18,3,2,3,3,2,4,2,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11229,4,3,4,3,2,3,3,4,15,3,1,2,3,-2,3,3,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11230,2,2,3,2,3,2,3,2,15,3,1,2,3,3,2,4,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11231,1,3,3,1,3,1,1,3,16,2,1,1,2,1,4,4,4,1,2,2,2,3,2,3,2,2,2,1,3,4,3,2,2,2,2
11232,2,3,3,3,3,3,3,2,15,3,1,2,3,2,3,3,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11233,2,2,2,4,4,2,2,2,15,3,1,1,-2,4,1,3,1,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11234,3,3,3,2,2,3,2,3,15,3,1,2,3,3,2,3,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11235,1,1,4,1,1,4,2,3,18,3,2,1,2,4,2,4,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11236,2,2,3,3,3,3,1,2,18,3,2,2,2,3,2,3,2,3,3,2,2,2,2,2,2,3,2,4,4,3,4,1,3,2,4
11237,1,2,3,2,3,1,3,2,18,3,2,1,2,2,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11238,1,2,4,1,3,2,4,2,15,3,1,2,2,4,2,3,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11239,3,2,3,2,3,2,3,2,15,3,1,2,2,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11240,2,2,3,2,4,2,4,2,15,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11241,2,2,1,2,3,3,2,3,15,3,1,3,3,3,4,4,3,2,3,4,2,2,4,3,3,3,3,1,1,4,1,1,3,1,1
11242,1,2,2,1,2,1,4,1,15,3,1,1,2,3,1,4,1,4,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11243,3,4,3,4,4,4,3,3,18,3,2,2,2,3,2,4,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11244,1,2,1,2,3,2,4,2,18,3,2,1,1,3,1,3,1,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11245,2,2,3,2,3,2,3,2,15,3,1,2,2,3,2,4,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11246,2,3,4,2,2,2,3,3,15,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11247,2,2,3,1,2,2,3,2,15,3,1,4,2,2,3,2,3,3,3,1,2,3,2,4,2,3,2,3,3,3,2,2,3,2,2
11248,1,2,3,2,2,2,3,2,15,3,1,2,2,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11249,2,1,1,2,2,1,3,1,15,3,1,2,2,2,2,2,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11250,1,2,3,1,4,2,3,2,15,3,1,2,2,2,1,3,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11251,2,2,2,1,2,2,3,3,15,3,1,2,2,3,2,2,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11252,3,2,3,2,2,2,4,3,15,3,1,2,3,2,2,2,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11253,1,2,1,2,2,1,4,3,15,3,1,1,1,1,1,1,1,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11254,2,2,3,3,3,2,3,2,15,3,1,2,2,3,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11255,2,3,3,2,4,2,4,2,15,3,1,2,2,3,2,4,2,4,-2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11256,3,3,4,2,4,2,3,3,15,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11257,1,3,4,1,3,4,4,2,15,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11258,1,2,3,1,3,2,3,2,15,3,1,1,2,3,1,3,2,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11259,1,2,3,2,1,2,3,2,18,3,2,1,1,1,1,2,2,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11260,1,2,-2,2,3,1,3,1,18,3,2,1,2,2,2,3,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11261,1,1,3,1,3,2,4,2,18,3,2,1,2,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11262,2,1,3,3,3,2,3,3,18,3,2,1,2,4,3,4,2,4,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11263,3,4,3,3,3,2,3,3,15,3,1,4,3,3,2,3,4,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11264,1,1,2,2,3,2,3,3,16,2,1,1,1,-2,1,2,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11265,2,2,2,1,2,3,3,3,15,3,1,2,2,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11266,2,2,3,2,4,2,3,2,18,3,2,2,3,2,2,2,2,2,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11267,2,2,3,2,3,1,3,2,15,3,1,1,1,4,1,4,1,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11268,1,3,4,2,3,2,3,2,18,3,2,1,1,4,2,3,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11269,1,2,2,1,3,2,4,1,18,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11270,2,2,2,2,3,2,3,2,18,3,2,2,2,3,2,4,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11271,3,2,3,3,2,3,3,2,15,3,1,2,2,3,2,2,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11272,1,1,3,3,3,3,3,2,18,3,2,1,2,3,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11273,3,2,2,3,2,2,3,2,15,3,1,-2,3,-2,-2,2,-2,2,-2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11274,1,2,3,2,2,2,3,2,16,2,1,1,1,2,2,3,2,3,2,2,2,2,2,2,2,3,2,4,3,3,3,2,3,2,3
11275,2,2,2,2,2,1,3,2,15,3,1,2,2,2,1,3,2,4,2,2,2,2,2,3,2,4,2,3,3,2,3,2,3,2,3
11276,2,2,2,2,3,2,1,2,19,2,2,1,1,2,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11277,3,1,4,1,4,2,4,2,18,3,2,2,2,2,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11278,1,3,2,3,3,3,3,2,18,3,2,2,2,2,1,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11279,1,2,4,2,2,3,3,2,15,3,1,1,1,4,1,2,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11280,2,3,3,2,1,3,2,3,15,3,1,2,3,3,2,2,3,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11281,2,3,3,2,2,3,4,2,15,3,1,2,2,3,2,2,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11282,2,2,3,2,3,2,3,2,15,3,1,1,2,3,2,3,2,3,-2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11283,1,2,2,2,2,1,3,2,18,3,2,1,2,2,2,3,1,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11284,4,3,1,3,2,3,2,2,18,3,2,2,2,1,2,3,3,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11285,2,3,2,2,3,3,4,2,18,3,2,1,2,3,2,4,2,4,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11286,2,3,2,2,3,3,3,2,19,2,2,3,2,3,-2,4,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11287,2,2,3,1,3,2,3,2,15,3,1,2,2,3,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11288,2,2,3,2,3,2,3,3,15,3,1,2,2,2,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11289,2,2,3,2,4,2,3,3,15,3,1,1,1,4,1,4,1,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11290,2,2,3,2,4,1,4,3,15,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11291,1,1,4,1,4,1,4,2,15,3,1,1,1,3,1,3,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11292,2,2,2,2,2,3,3,3,15,3,1,2,2,-2,2,2,3,3,-2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11293,2,3,2,2,3,4,3,3,15,3,1,2,3,3,2,2,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11294,1,1,4,1,1,1,4,1,15,3,1,2,2,2,2,4,2,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11295,2,2,2,3,4,2,3,2,17,1,1,2,2,3,3,3,3,3,3,2,2,3,3,2,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
11296,3,3,4,4,2,2,3,3,18,3,2,1,4,2,2,1,3,4,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11297,2,2,3,3,4,3,3,2,15,3,1,3,3,3,-3,3,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11298,2,2,3,1,4,-2,3,2,18,3,2,1,2,3,1,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11299,1,1,3,1,2,1,4,2,18,3,2,1,1,4,1,4,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11300,2,2,3,2,4,2,-2,2,15,3,1,3,2,3,1,2,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11301,2,2,3,3,3,2,3,2,15,3,1,2,2,3,3,1,3,3,2,2,2,3,3,4,2,3,3,4,4,2,2,2,3,2,8
11302,4,3,3,4,4,3,2,-2,15,3,1,3,2,3,2,4,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11303,3,2,-2,3,-2,3,3,-2,15,3,1,3,2,3,3,2,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11304,2,2,2,2,2,2,3,1,18,3,2,2,2,2,2,3,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11305,1,1,3,1,4,2,3,2,16,2,1,1,1,2,2,4,1,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11306,1,1,4,1,4,2,3,2,20,1,2,1,1,2,2,4,1,3,2,1,2,3,3,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
11307,2,2,3,2,3,2,3,2,18,3,2,1,2,2,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11308,1,2,3,2,3,2,4,2,18,3,2,1,1,3,2,3,1,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11309,2,2,3,3,1,3,3,2,18,3,2,1,1,2,1,3,2,3,2,2,2,2,2,3,2,3,3,4,4,4,3,3,4,1,2
11310,2,1,2,1,1,1,4,2,18,3,2,2,2,2,2,3,-2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11311,2,3,2,2,3,2,3,-2,15,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11312,2,2,3,2,2,2,3,2,15,3,1,1,2,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11313,2,2,3,1,4,2,3,1,18,3,2,2,2,2,-3,1,2,3,-2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11314,3,2,2,2,1,3,4,3,15,3,1,2,2,2,1,3,2,4,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11315,2,2,2,2,2,2,3,2,15,3,1,2,2,2,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11316,4,3,2,1,1,4,3,3,15,3,1,3,4,1,3,2,4,3,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11317,-2,-2,3,2,3,3,4,2,15,3,1,3,2,3,1,3,3,4,1,2,2,3,2,3,2,4,2,4,4,3,4,2,3,1,2
11318,3,2,3,3,4,2,3,2,15,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11319,1,1,3,2,3,1,4,2,18,3,2,2,1,3,1,4,-2,4,-2,1,2,2,1,4,2,4,2,3,3,4,4,2,4,1,2
11320,2,1,2,1,2,-2,-2,1,18,3,2,2,2,3,1,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11321,1,3,3,2,3,3,4,2,18,3,2,1,2,3,2,3,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11322,2,2,3,2,3,1,3,1,15,3,1,2,2,2,2,3,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11323,2,2,3,2,3,2,3,2,15,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11324,2,2,3,2,2,2,2,2,18,3,2,1,1,3,1,3,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11325,1,1,4,2,2,1,4,1,16,2,1,1,1,3,2,3,2,4,1,3,3,2,3,2,4,3,3,3,3,3,2,2,1,2,3
11326,1,2,2,2,3,2,4,2,19,2,2,1,2,2,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11327,2,3,2,2,2,2,3,2,18,3,2,2,1,2,1,3,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11328,3,3,3,2,2,3,3,-2,15,3,1,2,2,2,2,4,3,3,2,1,2,-2,-2,4,2,3,2,4,3,3,3,2,3,2,3
11329,2,2,3,2,3,2,3,2,16,2,1,1,2,3,2,3,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11330,4,4,1,3,1,4,4,3,15,3,1,2,3,1,4,1,3,4,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11331,2,2,3,3,3,3,3,3,15,3,1,2,2,3,3,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11332,2,2,3,3,3,2,2,2,15,3,1,2,2,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11333,2,4,4,2,4,4,2,1,17,1,1,2,2,2,3,4,2,3,-2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11334,1,2,3,2,3,2,3,2,15,3,1,2,2,3,1,3,2,3,2,1,2,-2,2,3,2,-2,2,-5,-5,-5,-5,-5,-5,-5,-5
11335,2,4,3,2,3,3,3,2,15,3,1,2,3,3,2,4,2,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11336,2,2,-2,2,2,3,2,2,15,3,1,3,3,2,3,4,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11337,1,2,-2,2,3,2,4,2,15,3,1,2,2,2,2,2,2,3,2,1,2,3,2,4,2,4,2,3,3,2,3,2,3,1,2
11338,2,2,2,2,3,2,3,2,15,3,1,1,2,2,2,4,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11339,3,2,3,1,3,4,3,2,15,3,1,3,2,3,2,3,3,3,-2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11340,2,2,3,3,2,2,3,2,15,3,1,2,2,3,2,2,2,2,2,1,1,3,2,4,2,3,1,3,3,2,3,2,3,2,3
11341,1,1,2,2,3,1,4,2,19,2,2,1,1,2,1,2,1,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11342,3,3,4,3,4,4,3,2,16,2,1,2,2,3,3,4,3,3,-2,2,2,3,3,2,2,3,2,3,8,8,1,1,1,2,4
11343,1,1,3,2,4,2,3,2,18,3,2,1,1,4,1,4,1,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11344,1,2,3,3,2,2,3,-2,15,3,1,2,3,2,2,4,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11345,1,2,2,2,2,2,3,2,18,3,2,1,1,3,2,3,2,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11346,2,2,4,1,3,2,-2,2,18,3,2,2,1,4,1,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11347,2,2,3,2,3,2,4,1,18,3,2,1,2,3,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11348,1,2,3,2,3,2,4,2,18,3,2,1,2,3,1,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11349,2,1,2,1,3,2,3,2,15,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11350,2,3,3,4,3,2,3,3,15,3,1,2,2,3,1,4,-2,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11351,1,1,3,2,3,2,4,1,15,3,1,1,1,3,1,2,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
